dataset,route,dropped,n,n_noise,auc,full_auc,delta
template,iforest,update_contrib_mean,14611,1461,0.49665602236084977,0.5509355277779947,-0.054279505417144935
truncation,rf,(none),14611,1461,0.7866108426178224,0.7866108426178224,0.0
truncation,iforest,(none),14611,1461,0.5726686497867235,0.5726686497867235,0.0
truncation,rf,text_nn_sim,14611,1461,0.7803327321512689,0.7866108426178224,-0.006278110466553577
truncation,iforest,text_nn_sim,14611,1461,0.5769643689019709,0.5726686497867235,0.004295719115247398
truncation,rf,loss_mean,14611,1461,0.7876864640344782,0.7866108426178224,0.0010756214166557365
truncation,iforest,loss_mean,14611,1461,0.5821318800862996,0.5726686497867235,0.009463230299576075
truncation,rf,loss_last,14611,1461,0.7869173934203095,0.7866108426178224,0.0003065508024870933
truncation,iforest,loss_last,14611,1461,0.5868193304757666,0.5726686497867235,0.014150680689043127
truncation,rf,loss_std,14611,1461,0.7872765931975337,0.7866108426178224,0.0006657505797112995
truncation,iforest,loss_std,14611,1461,0.5650737163721915,0.5726686497867235,-0.00759493341453199
truncation,rf,loss_slope,14611,1461,0.7865946289197201,0.7866108426178224,-1.6213698102340857e-05
truncation,iforest,loss_slope,14611,1461,0.5660583016476552,0.5726686497867235,-0.006610348139068245
truncation,rf,loss_min,14611,1461,0.7849742480669785,0.7866108426178224,-0.0016365945508439728
truncation,iforest,loss_min,14611,1461,0.5739126542318272,0.5726686497867235,0.0012440044451037524
truncation,rf,converge_epoch,14611,1461,0.7867446381586652,0.7866108426178224,0.0001337955408428071
truncation,iforest,converge_epoch,14611,1461,0.5570233419997241,0.5726686497867235,-0.015645307786999352
truncation,rf,loss_curvature,14611,1461,0.7890952079803666,0.7866108426178224,0.0024843653625441497
truncation,iforest,loss_curvature,14611,1461,0.5686782062392808,0.5726686497867235,-0.0039904435474427125
truncation,rf,loss_rank,14611,1461,0.7868893903076959,0.7866108426178224,0.000278547689873454
truncation,iforest,loss_rank,14611,1461,0.5674394068336964,0.5726686497867235,-0.005229242953027069
truncation,rf,grad_norm_mean,14611,1461,0.7892974497908875,0.7866108426178224,0.0026866071730650143
