dataset,route,dropped,n,n_noise,auc,full_auc,delta
near_duplicate,rf,cos_ref_mean,14611,1461,0.7006512024942549,0.6947310165702433,0.005920185924011667
near_duplicate,iforest,cos_ref_mean,14611,1461,0.6105536340284664,0.6142740921760448,-0.003720458147578376
near_duplicate,rf,cos_ref_last,14611,1461,0.6981104145033221,0.6947310165702433,0.0033793979330788426
near_duplicate,iforest,cos_ref_last,14611,1461,0.6060272796121206,0.6142740921760448,-0.008246812563924233
near_duplicate,rf,cos_ref_std,14611,1461,0.6960781328482236,0.6947310165702433,0.0013471162779803425
near_duplicate,iforest,cos_ref_std,14611,1461,0.6068617515478486,0.6142740921760448,-0.007412340628196179
near_duplicate,rf,cos_ref_slope,14611,1461,0.6974919777328408,0.6947310165702433,0.0027609611625974972
near_duplicate,iforest,cos_ref_slope,14611,1461,0.6017747102744877,0.6142740921760448,-0.012499381901557083
near_duplicate,rf,grad_norm_cv,14611,1461,0.7016588200695912,0.6947310165702433,0.006927803499347962
near_duplicate,iforest,grad_norm_cv,14611,1461,0.6007750824348134,0.6142740921760448,-0.013499009741231416
near_duplicate,rf,cos_ref_trend,14611,1461,0.6963892640854875,0.6947310165702433,0.0016582475152442377
near_duplicate,iforest,cos_ref_trend,14611,1461,0.6074913010777034,0.6142740921760448,-0.006782791098341345
near_duplicate,rf,update_contrib_mean,14611,1461,0.6963042657901379,0.6947310165702433,0.0015732492198946568
near_duplicate,iforest,update_contrib_mean,14611,1461,0.6018410224779631,0.6142740921760448,-0.012433069698081667
template,rf,(none),14611,1461,0.9945900641000616,0.9945900641000616,0.0
template,iforest,(none),14611,1461,0.5368478280671346,0.5368478280671346,0.0
template,rf,text_nn_sim,14611,1461,0.9932174691536345,0.9945900641000616,-0.0013725949464270526
template,iforest,text_nn_sim,14611,1461,0.45853285551070544,0.5368478280671346,-0.07831497255642916
template,rf,loss_mean,14611,1461,0.9943100069487278,0.9945900641000616,-0.00028005715133372355
template,iforest,loss_mean,14611,1461,0.5292288473700237,0.5368478280671346,-0.0076189806971108665
template,rf,loss_last,14611,1461,0.9940057723888269,0.9945900641000616,-0.0005842917112346413
template,iforest,loss_last,14611,1461,0.5712651629307495,0.5368478280671346,0.03441733486361487
template,rf,loss_std,14611,1461,0.9946113006613002,0.9945900641000616,2.12365612386467e-05
template,iforest,loss_std,14611,1461,0.5236021475993057,0.5368478280671346,-0.013245680467828924
template,rf,loss_slope,14611,1461,0.9940262802445329,0.9945900641000616,-0.0005637838555286878
template,iforest,loss_slope,14611,1461,0.5005468414518937,0.5368478280671346,-0.03630098661524095
template,rf,loss_min,14611,1461,0.9943762150514127,0.9945900641000616,-0.0002138490486488509
template,iforest,loss_min,14611,1461,0.5541461002542662,0.5368478280671346,0.017298272187131647
template,rf,converge_epoch,14611,1461,0.9946458360985106,0.9945900641000616,5.5771998449083426e-05
template,iforest,converge_epoch,14611,1461,0.5892094325726168,0.5368478280671346,0.05236160450548222
template,rf,loss_curvature,14611,1461,0.99453486465596,0.9945900641000616,-5.519944410159461e-05
template,iforest,loss_curvature,14611,1461,0.5162547658643099,0.5368478280671346,-0.020593062202824752
template,rf,loss_rank,14611,1461,0.9940319277124112,0.9945900641000616,-0.0005581363876503431
template,iforest,loss_rank,14611,1461,0.5121323225146586,0.5368478280671346,-0.024715505552476036
template,rf,grad_norm_mean,14611,1461,0.9943654666448054,0.9945900641000616,-0.00022459745525615915
template,iforest,grad_norm_mean,14611,1461,0.5215765023695942,0.5368478280671346,-0.015271325697540417
template,rf,grad_norm_last,14611,1461,0.9941942468698194,0.9945900641000616,-0.0003958172302421792
template,iforest,grad_norm_last,14611,1461,0.5338846511192136,0.5368478280671346,-0.0029631769479210313
template,rf,grad_norm_std,14611,1461,0.993963793745104,0.9945900641000616,-0.0006262703549575477
template,iforest,grad_norm_std,14611,1461,0.5468473335883803,0.5368478280671346,0.009999505521245733
template,rf,grad_norm_slope,14611,1461,0.994345323141866,0.9945900641000616,-0.0002447409581955995
template,iforest,grad_norm_slope,14611,1461,0.5540957675221149,0.5368478280671346,0.017247939454980266
template,rf,cos_ref_mean,14611,1461,0.9939881793552516,0.9945900641000616,-0.0006018847448099329
template,iforest,cos_ref_mean,14611,1461,0.5317311701189091,0.5368478280671346,-0.005116657948225467
template,rf,cos_ref_last,14611,1461,0.9935068173005104,0.9945900641000616,-0.0010832467995511852
template,iforest,cos_ref_last,14611,1461,0.5255954174832073,0.5368478280671346,-0.011252410583927341
template,rf,cos_ref_std,14611,1461,0.9943361882975096,0.9945900641000616,-0.00025387580255198383
template,iforest,cos_ref_std,14611,1461,0.5398298993085106,0.5368478280671346,0.00298207124137595
template,rf,cos_ref_slope,14611,1461,0.9945675002537456,0.9945900641000616,-2.256384631593722e-05
