dataset,feature,importance,importance_std,n,n_noise,rank
template,hard_loss_max,0.00023672883787656087,0.0003136451505214252,906,87,9
template,max_token_loss,0.0002223816355810082,0.00024137062590332022,906,87,10
template,loss_rank,0.00022158456878682123,0.0003639935572372627,906,87,11
template,update_contrib_mean,0.00017027339391039286,0.00022952729963666597,906,87,12
template,grad_norm_cv,0.00016319942611190297,0.0002159093069693958,906,87,13
template,grad_norm_mean,0.00013091822094690066,0.00023380327815969456,906,87,14
template,grad_norm_last,0.00011956001912957314,0.00013228817715446142,906,87,15
template,loss_slope,0.00010800255061372278,0.00023196783503966445,906,87,16
template,cos_ref_last,0.00010232344970507068,9.21215787876654e-05,906,87,17
template,text_nn_sim,8.428981348635012e-05,0.00014320276024157677,906,87,18
template,loss_last,8.428981348634235e-05,0.0001362984218077265,906,87,19
template,hard_pos_peak,8.070301291247529e-05,0.00013324372755389938,906,87,20
template,cos_global_slope,6.456241032997801e-05,0.00015781922525106174,906,87,21
template,token_loss_skew,5.3802008608301305e-05,0.0002643669119303108,906,87,22
template,loss_std,2.71002710027035e-05,0.00024742024070435216,906,87,23
template,grad_norm_slope,1.9727403156357683e-05,3.986031343413307e-05,906,87,24
template,cos_ref_std,1.6140602582481733e-05,2.801380801979189e-05,906,87,25
template,frac_hard,1.4347202295518227e-05,0.00011150854775253219,906,87,26
template,cos_global_mean,1.2553802008610231e-05,0.00017930415710111727,906,87,27
template,cos_global_last,8.967001434687649e-06,2.2684918652589737e-05,906,87,28
template,token_loss_kurt,1.594133588375125e-06,0.0001685419363861194,906,87,29
template,converge_epoch,-5.551115123125783e-18,1.1102230246251568e-17,906,87,30
template,user_loss,-3.3306690738754695e-17,5.0267485386043066e-17,906,87,31
template,cos_ref_mean,-7.970667942203138e-07,0.00012110006333260961,906,87,32
template,cos_global_std,-3.5868005739136953e-06,1.3420578862154955e-05,906,87,33
template,cos_ref_slope,-1.2553802008629101e-05,2.5107604017172157e-05,906,87,34
template,hard_pos_jaccard,-2.6901004304187288e-05,5.380200860828299e-05,906,87,35
template,grad_norm_std,-3.5868005738890485e-05,9.773620224847764e-05,906,87,36
truncation,loss_slope,0.02920915203829051,0.009310896528939565,905,86,1
truncation,loss_std,0.028090835541159452,0.01633687718770437,905,86,2
truncation,hard_pos_std_mean,0.024390995736915156,0.008087272950444027,905,86,3
truncation,loss_curvature,0.01281328636996222,0.015291679696882011,905,86,4
truncation,frac_hard,0.01280676924867409,0.01777827882249387,905,86,5
truncation,token_loss_skew,0.011753935700670615,0.012062041880968821,905,86,6
truncation,hard_id_uniq,0.007339455833208641,0.005479159831985933,905,86,7
truncation,hard_loss_max,0.006685111672480851,0.0121722071956683,905,86,8
truncation,grad_norm_slope,0.006231636901356386,0.004725361290993286,905,86,9
truncation,entropy,0.005528117875909894,0.007517838260029791,905,86,10
truncation,n_hard,0.004709586513043057,0.006852796236815443,905,86,11
truncation,hard_pos_peak,0.0037842958770619843,0.00901012659590265,905,86,12
